FID	IID	Guides_individual_petal_Jas	Petal_LW_ratio_UV_pictures_Jas	Guides_3_petals_Jas	Guides_individual_petal_Haf	Petal_LW_ratio_UV_pictures_Haf	Guides_3_petals_Haf	DTF_corrected	DTF_deduced	late_early	SLA_mm2_per_mg	Leaf_total_N	Leaf_total_C	C_N_ratio
ARG0016	ARG0016	0.287979861	2.136344002	0.210608177	0.353978595	2.299865424	0.369992312	105	105	0	2137.16	3.724930196	41.3299328	11.0954919
ARG0017	ARG0017	NA	NA	NA	NA	NA	NA	123	123	0	1621.23	2.437876627	37.48610046	15.37653713
ARG0018	ARG0018	NA	NA	NA	NA	NA	NA	119	119	0	2616.7	2.601161533	39.82525885	15.31056735
ARG0019	ARG0019	NA	NA	NA	NA	NA	NA	114	114	0	1788.67	3.363846258	42.0237971	12.49278174
ARG0020	ARG0020	NA	NA	NA	NA	NA	NA	115	115	0	1835.39	2.798518513	41.15114666	14.70461834
ARG0021	ARG0021	0.375124472	3.310524138	0.406683816	0.432111491	3.003878463	0.372142623	110	110	0	1686.55	3.277579571	41.62310132	12.69934121
ARG0022	ARG0022	0.333099348	2.820068694	0.337340075	0.443725629	2.906491048	0.462454122	117	117	0	NA	NA	NA	NA
ARG0023	ARG0023	0.171708384	3.664343567	0.142300698	0.378152588	3.367992838	0.233172151	117	117	0	1865.73	3.278440386	41.36178309	12.61629867
ARG0024	ARG0024	0.409932726	3.318879247	0.374781606	0.386390329	2.798498592	0.499245241	112	112	0	1647.95	2.935889293	39.19599409	13.35063764
ARG0025	ARG0025	NA	NA	NA	NA	NA	NA	110	110	0	2026.2	2.92616632	40.73106017	13.91959845
ARG0026	ARG0026	NA	NA	NA	NA	NA	NA	115	115	0	1954.47	3.338605648	41.19237913	12.33819848
ARG0027	ARG0027	0.212228088	2.578482173	0.313437988	0.328426484	3.435805575	0.276909488	111	111	0	2263.15	3.997152364	42.52862548	10.63973089
ARG0028	ARG0028	NA	NA	NA	NA	NA	NA	120	120	0	NA	NA	NA	NA
ARG0029	ARG0029	0.314873732	3.373618582	NA	0.983634702	3.195934969	0.820384937	119	119	0	2436.17	2.309112009	41.15261717	17.82183671
ARG0030	ARG0030	0.259963889	2.270121349	0.280733324	0.397857021	2.219946607	0.332519187	117	117	0	1903.74	2.30685913	38.8468458	16.83971305
ARG0031	ARG0031	NA	NA	NA	NA	NA	NA	116	116	0	2148.69	3.462495305	40.41475369	11.67214686
ARG0032	ARG0032	0.193504639	2.38296384	0.261225443	0.317771411	2.442644644	0.328097528	115	115	0	2076.44	3.339412748	39.90364799	11.94930097
ARG0033	ARG0033	NA	NA	NA	NA	NA	NA	125	125	0	1676.3	3.114863497	40.98244447	13.15705953
ARG0034	ARG0034	NA	NA	NA	NA	NA	NA	117	117	0	1850.74	3.387717196	41.02455893	12.10979446
ARG0035	ARG0035	0.300131412	2.646568493	0.351391167	0.305367264	2.350235244	0.417107049	121	121	0	1888.1	4.046335348	41.3274088	10.21354021
ARG0036	ARG0036	NA	NA	NA	NA	NA	NA	124	124	0	1849.53	3.81073965	39.82465901	10.45063759
ARG0037	ARG0037	0.2580559	2.810260127	0.247763485	0.339969922	2.593207517	0.324176168	120	120	0	2911.95	3.975510702	41.28701974	10.38533734
ARG0038	ARG0038	0.221449917	2.216767925	0.230637597	0.296290498	2.28467483	0.373910654	122	122	0	886.06	3.215304051	41.48564756	12.90255817
ARG0039	ARG0039	NA	NA	NA	NA	NA	NA	124	124	0	1809.03	3.330202796	40.53941639	12.17325757
ARG0040	ARG0040	NA	NA	NA	NA	NA	NA	123	123	0	1524.91	3.216078488	39.76170617	12.36341287
ARG0041	ARG0041	NA	NA	NA	NA	NA	NA	117	117	0	1867.49	3.204956015	39.22146357	12.23775409
ARG0042	ARG0042	NA	NA	NA	NA	NA	NA	118	118	0	1624.79	2.886950776	37.72604335	13.06778199
ARG0043	ARG0043	NA	NA	NA	NA	NA	NA	110	110	0	1897.75	3.506039955	42.08934612	12.00481074
ARG0044N	ARG0044N	NA	NA	NA	NA	NA	NA	111	111	0	2037.16	3.408	41.566	12.19527076
ARG0045	ARG0045	NA	NA	NA	NA	NA	NA	119	119	0	1863.97	4.043549144	40.23534845	9.950503139
ARG0046	ARG0046	NA	NA	NA	NA	NA	NA	119	119	0	1559.37	2.935779716	40.46786096	13.78436561
ARG0047	ARG0047	NA	NA	NA	NA	NA	NA	120	120	0	1887.2	4.667508448	40.96742152	8.777149947
ARG0048N	ARG0048N	NA	NA	NA	NA	NA	NA	119	119	0	2564.5	3.927	42.501	10.82377026
