FID	IID	Total_N	Total_C	C_N_ratio	Ligules_number	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Flower_FHDD_ratio	Petal_LW_ratio	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Days_to_budding	TLN	DTF	Guides_3_petals	Guides_individual_petal	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Flower_FHDD_ratio_UV_pictures	Stem_diamater_at_flowering	Plant_height_at_flowering	Peduncle_lenght_of_first_flower	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches
PET0760	PET0760	4.667275959	40.0611046	8.583401744	NA	NA	NA	NA	NA	NA	NA	325.8274	5220.305	68.58	81.4493	96.0967	109.5587	114.6726	1.407901603	1.3451	1.4012	1.6329	0.2827	0.2827	1	0.1059	0.1245	0.3204	0	81.7897	67.0859	0	5.8475	39.6788	0.0147	0.0074	0.3175	0.2177	1.1569	0.7093	0.7053	0.8932	0.9221	1.4161	0.3666	7.906	38	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.1	11.3	17
PET0761	PET0761	5.506345	40.82240655	7.413703019	23.33333333	3.68348103	5.242111581	1.663648461	14.23332201	3.873415964	3.152902173	234.7952	3345.9503	57.2347	61.976	73.2367	75.692	85.0106	1.371669679	1.2213	1.2796	1.4447	0.324	0.9053	0.3578	0.074	0.0865	0.4455	0	105.7173	88.9609	0	149.1952	106.1014	0	0	0.4053	0.1675	0.7625	0.7293	0.7727	0.8973	0.8892	1.2778	0.373	5.5859	55	28	77	0.083342017	0.130189585	13.27353436	3.169648428	4.921577162	3.430380031	3.869406373	19.6	190.4	42	25	26.7	6.5	26
PET0762	PET0762	5.617150967	39.71421696	7.070170837	NA	NA	NA	NA	NA	NA	NA	377.0434	6591.4922	65.8707	84.9207	129.286	130.4713	131.2906	1.546037656	1.5364	1.9627	1.9906	0.1928	0.9563	0.2016	0.1026	0.1841	0.319	0.0966	45.9683	52.666	0.0007	145.2607	152.641	0.0012	0.0354	0.4223	0.0443	1.9497	0.7197	0.6078	0.6847	0.8683	1.3684	0.4532	11.8762	85	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4	22.6	3.5	32
PET0763	PET0763	5.392883907	40.766005	7.55922169	23.66666667	3.280587081	4.179234557	1.519669818	11.4887029	3.493008329	2.747621782	340.9488	6198.855	74.5067	84.6667	119.2107	123.3593	122.9608	1.452292342	1.457	1.6	1.5866	0.2409	0.4602	0.5235	0.0914	0.1336	0.3105	0	73.3021	54.196	0	101.5332	139.9257	0.0004	0.038	0.3108	0.128	1.2169	0.6356	0.7734	0.8951	0.8944	1.5994	0.28	8.9603	46	23	67	0.079244729	0.109816803	11.52796678	2.849888586	4.441947877	2.644071027	4.359930827	34.6	201.2	49	35.1	34.1	8.1	19
PET0764	PET0764	4.334166748	39.43043063	9.097580439	NA	NA	NA	NA	NA	NA	NA	334.9971	4998.7714	57.404	67.31	117.094	120.9887	120.2905	1.78711187	1.7975	2.0398	2.0802	0.2743	0.6091	0.4504	0.0848	0.2029	0.3253	0	61.1124	50.0737	0	96.4014	119.0662	0.0008	0.0444	0.299	0.1007	1.2356	0.6535	0.6036	0.8273	0.6946	1.2676	0.3398	14.6166	60	28	NA	NA	NA	NA	NA	NA	NA	NA	29.4	276	NA	30.1	25.3	6.7	26
PET0765	PET0765	6.523739067	40.15279495	6.154874458	25	3.588079532	6.184905634	1.607922869	15.66763571	4.388270671	3.865381097	289.1254	4348.0415	54.9487	66.1247	97.1127	104.3093	105.8999	1.601518041	1.5775	1.7673	1.9135	0.2357	0.9122	0.2584	0.0919	0.1744	0.3537	0.1478	57.2732	52.4171	0.0012	151.8271	148.3103	0.0017	0.0535	0.4282	0.1732	1.3992	0.717	0.7896	0.9213	0.878	1.8202	0.3279	11.7457	45	28	64	0	0	15.19547673	4.42956294	5.764645402	3.666185922	4.144764355	21.6	188.2	44	30.2	25.8	10	20
PET0766	PET0766	6.679081668	42.48629124	6.36109773	20.66666667	3.800971019	5.648360629	1.630692546	14.60295674	3.836121154	3.460212398	336.4945	5920.1889	74.422	83.312	104.9867	108.712	117.2857	1.407788794	1.3049	1.4107	1.5157	0.2708	0.6974	0.3883	0.0755	0.0952	0.3819	0	93.6959	73.9331	0	156.8508	128.9535	0	0	0.2937	0.1355	1.0213	0.6626	0.6251	0.7085	0.8882	1.0362	0.4097	6.3453	33	24	56	0.043777557	0.07664458	13.70766188	3.303734645	5.237840579	3.231980718	4.241257319	24.2	164.5	57	33	34.1	8.8	14
PET0767	PET0767	6.243283488	41.2104751	6.600769479	20.33333333	3.464458075	5.895127257	1.993305964	14.75302928	4.256624718	2.960362094	355.9647	5875.0348	72.39	81.8727	114.9773	116.4167	116.5475	1.423520905	1.4219	1.5883	1.5969	0.2281	0.724	0.315	0.0879	0.1336	0.3585	0	78.2746	51.8386	0	96.8403	20.5934	0.0112	0.1692	0.271	0.1971	1.3365	0.6316	0.5095	0.6542	0.7479	0.9943	0.5277	8.6783	38	28	64	0.048600419	0.088241008	14.41711448	3.303956957	5.568205633	3.280703218	4.394519567	36.2	207.2	50.5	45.1	40.6	6.1	28
PET0768	PET0768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PET0769	PET0769	6.247674392	42.09068244	6.737016015	19	3.476918456	4.883482363	1.703102375	12.67461341	3.652889136	2.868226357	380.489	5559.0857	55.626	81.1107	110.49	118.364	120.2937	1.483080531	1.4593	1.9863	2.1099	0.1766	1.3425	0.1315	0.1256	0.1919	0.3141	0.0767	40.7996	51.5038	0.0006	127.8864	4.0195	0.0025	0.0664	0.4111	0.1516	2.23	0.6547	0.4639	0.6285	0.7951	0.9337	0.5445	12.434	25	19	45	0.212223973	0.239616816	11.32170349	2.666666667	4.074899026	3.171905441	3.569369801	29.5	141.2	56	50.9	31.9	3	20
PET0770	PET0770	6.733175366	40.08575168	5.95346913	20.66666667	3.48397155	4.729106945	1.828834933	12.13377132	3.486169147	2.584133006	298.6932	4632.3205	53.594	65.786	101.0073	107.696	107.7492	1.63787432	1.6371	1.8847	1.9645	0.3128	0.9905	0.3158	0.088	0.1894	0.3668	0.1341	77.0992	63.2781	0.002	152.2081	153.9878	0.0007	0.0359	0.4495	0.1743	1.4341	0.7492	0.749	0.8914	0.8889	1.8889	0.4168	13.0898	22	16	39	0.123293599	0.139175258	8.297520661	2.586666667	2.876033058	2.545454545	3.25974026	21.5	99.1	33	37	23	1.5	15
PET0774N	PET0774N	5.305378492	40.12384768	7.562862431	17.66666667	2.724981358	4.750189027	1.885036026	12.19954514	4.484211765	2.522635602	258.533	3395.2405	49.8687	67.9027	76.2847	81.1107	82.8857	1.220653965	1.1945	1.5297	1.6025	0.2462	1.2207	0.2017	0.1264	0.1408	0.3425	0	66.1769	62.4019	0	28.7131	0.3795	0.0546	0.1309	0.5739	0.1657	1.4485	0.7463	0.7524	0.9	0.8944	1.5319	0.4389	8.4184	22	18	44	NA	NA	NA	NA	NA	NA	NA	16.8	80.9	26.5	NA	NA	NA	NA
PET0775	PET0775	5.831403349	40.11575292	6.879262249	17.66666667	2.947925374	4.452266779	1.683554237	11.94551791	4.09698309	2.64883234	253.1314	2920.4028	37.5073	49.1913	87.884	90.7627	91.2326	1.854649094	1.8451	2.3431	2.4379	0.3409	1.1287	0.302	0.0931	0.2331	0.3821	0	61.4428	54.3404	0	344.4471	146.1221	0.0149	0.0093	0.4923	0.0946	1.3169	0.7848	0.7507	0.9003	0.8627	2.1613	0.4234	17.2854	31	11	47	0.099293817	0.132670916	9.904694168	2.759984919	3.555529809	2.79363455	3.545450913	8.4	46.7	42.5	14.3	7.66	13.2	8
PET0776	PET0776	5.885361877	39.51532451	6.71417074	19	3.393422222	4.668301575	1.969918011	12.63088403	3.724422274	2.369994178	321.5785	5806.2823	71.2047	84.4973	98.2133	102.362	101.6517	1.203017138	1.2114	1.3793	1.3916	0.2937	0.9394	0.3127	0.0826	0.1011	0.4067	0.0344	1.8132	78.5877	0.0041	169.7409	176.9104	0.0027	0.0359	0.4203	0.1347	1.2858	0.6974	0.7235	0.8388	0.8855	1.245	0.4051	6.3672	25	17	45	0.075782817	0.133828996	11.76923077	2.227614134	4.319088319	3.131054131	3.758871702	20.5	102.6	47	30.7	25.3	5.6	17
