sv_name	sv_species_name	trait	pvalue
ann16.01	annuus_ann16.01	Leaf_circular	0.76
ann16.02	annuus_ann16.02	Leaf_circular	0.35
ann17.01	annuus_ann17.01	Leaf_circular	0.0687
ann01.01	annuus_ann01.01	Leaf_curved_height	0.915
ann05.01	annuus_ann05.01	Leaf_curved_height	0.54
ann11.01	annuus_ann11.01	Leaf_curved_height	0.0487
ann13.01	annuus_ann13.01	Leaf_curved_height	0.302
ann13.02	annuus_ann13.02	Leaf_curved_height	0.8
ann14.01	annuus_ann14.01	Leaf_curved_height	0.539
ann14.02	annuus_ann14.02	Leaf_curved_height	0.0197
ann15.01	annuus_ann15.01	Leaf_curved_height	0.234
ann16.01	annuus_ann16.01	Leaf_curved_height	0.193
ann16.02	annuus_ann16.02	Leaf_curved_height	0.256
ann17.01	annuus_ann17.01	Leaf_curved_height	0.766
ann01.01	annuus_ann01.01	Leaf_curved_shape_index	0.266
ann05.01	annuus_ann05.01	Leaf_curved_shape_index	0.416
ann11.01	annuus_ann11.01	Leaf_curved_shape_index	0.96
ann13.01	annuus_ann13.01	Leaf_curved_shape_index	0.589
ann13.02	annuus_ann13.02	Leaf_curved_shape_index	0.212
ann14.01	annuus_ann14.01	Leaf_curved_shape_index	0.685
ann14.02	annuus_ann14.02	Leaf_curved_shape_index	0.337
ann15.01	annuus_ann15.01	Leaf_curved_shape_index	0.976
ann16.01	annuus_ann16.01	Leaf_curved_shape_index	0.686
ann16.02	annuus_ann16.02	Leaf_curved_shape_index	0.149
ann17.01	annuus_ann17.01	Leaf_curved_shape_index	0.318
ann01.01	annuus_ann01.01	Leaf_curvedHeight_maxWidth	0.784
ann05.01	annuus_ann05.01	Leaf_curvedHeight_maxWidth	0.109
ann11.01	annuus_ann11.01	Leaf_curvedHeight_maxWidth	0.919
ann13.01	annuus_ann13.01	Leaf_curvedHeight_maxWidth	0.821
ann13.02	annuus_ann13.02	Leaf_curvedHeight_maxWidth	0.811
ann14.01	annuus_ann14.01	Leaf_curvedHeight_maxWidth	0.62
ann14.02	annuus_ann14.02	Leaf_curvedHeight_maxWidth	0.45
ann15.01	annuus_ann15.01	Leaf_curvedHeight_maxWidth	0.731
ann16.01	annuus_ann16.01	Leaf_curvedHeight_maxWidth	0.574
ann16.02	annuus_ann16.02	Leaf_curvedHeight_maxWidth	0.0768
ann17.01	annuus_ann17.01	Leaf_curvedHeight_maxWidth	0.0917
ann01.01	annuus_ann01.01	Leaf_distal_eccentricity	0.666
ann05.01	annuus_ann05.01	Leaf_distal_eccentricity	0.748
ann11.01	annuus_ann11.01	Leaf_distal_eccentricity	0.894
ann13.01	annuus_ann13.01	Leaf_distal_eccentricity	0.555
ann13.02	annuus_ann13.02	Leaf_distal_eccentricity	0.446
ann14.01	annuus_ann14.01	Leaf_distal_eccentricity	0.4
ann14.02	annuus_ann14.02	Leaf_distal_eccentricity	0.859
ann15.01	annuus_ann15.01	Leaf_distal_eccentricity	0.511
ann16.01	annuus_ann16.01	Leaf_distal_eccentricity	0.118
ann16.02	annuus_ann16.02	Leaf_distal_eccentricity	0.555
ann17.01	annuus_ann17.01	Leaf_distal_eccentricity	0.374
ann01.01	annuus_ann01.01	Leaf_eccentricity_area_index	0.641
ann05.01	annuus_ann05.01	Leaf_eccentricity_area_index	0.463
ann11.01	annuus_ann11.01	Leaf_eccentricity_area_index	0.954
ann13.01	annuus_ann13.01	Leaf_eccentricity_area_index	0.977
ann13.02	annuus_ann13.02	Leaf_eccentricity_area_index	0.575
ann14.01	annuus_ann14.01	Leaf_eccentricity_area_index	0.692
ann14.02	annuus_ann14.02	Leaf_eccentricity_area_index	0.694
