bam	gvcf	name	species	population	is_wild	project
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1120.bam	/scratch/jslegare/data/gwas/variants/ANN1120.bam.g.vcf.gz	ANN1120	Ann	ANN_32	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1125.bam	/scratch/jslegare/data/gwas/variants/ANN1125.bam.g.vcf.gz	ANN1125	Ann	ANN_33	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1169.bam	/scratch/jslegare/data/gwas/variants/ANN1169.bam.g.vcf.gz	ANN1169	Ann	ANN_37	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1177.bam	/scratch/jslegare/data/gwas/variants/ANN1177.bam.g.vcf.gz	ANN1177	Ann	ANN_38	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1183.bam	/scratch/jslegare/data/gwas/variants/ANN1183.bam.g.vcf.gz	ANN1183	Ann	ANN_39	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1202.bam	/scratch/jslegare/data/gwas/variants/ANN1202.bam.g.vcf.gz	ANN1202	Ann	ANN_41	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1211.bam	/scratch/jslegare/data/gwas/variants/ANN1211.bam.g.vcf.gz	ANN1211	Ann	ANN_42	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1218.bam	/scratch/jslegare/data/gwas/variants/ANN1218.bam.g.vcf.gz	ANN1218	Ann	ANN_42	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1232.bam	/scratch/jslegare/data/gwas/variants/ANN1232.bam.g.vcf.gz	ANN1232	Ann	ANN_44	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1237.bam	/scratch/jslegare/data/gwas/variants/ANN1237.bam.g.vcf.gz	ANN1237	Ann	ANN_44	wild	wild_gwas
