name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
ANN0815	-0.07904105351532481	0.03285211542670585	0.013216526636332267	-0.07522582940703895	0.009023311925420966	-0.030280994762302407	-0.0063371442485760186	3.529297825485113e-4	-4.432371058568124e-4	9.697998547485319e-4	0.005661238832093157	-1.2044657106711088e-4	-0.0016382797259862957	-0.0035809843949114895	0.006801154870947517	0.011382158578867742	-0.011544902594280839	-0.005277043928134514	-0.08219939532966813	0.021358948153893085
ANN0816	-0.07747358088888662	0.03359395467681853	0.01510411573114441	-0.06218332960090954	0.006957772292310921	-0.029231247020442518	-0.010293271746168025	0.0019514108285901767	-0.0028948103579605044	-0.002283899836489214	0.007437548722682096	1.1380947847858215e-4	0.00323768455159392	-0.004808623641834778	0.00605946698456393	0.01288975970056597	-0.01227492672980072	-0.007872301565452246	-0.08456547075402637	0.017785723822475532
ANN0817	-0.07760842368583995	0.03375487533743011	0.016837958475217796	-0.07649656700977367	0.009969309966975107	-0.030071387046785004	-0.009563828312260764	0.0023074445087885778	1.1723820761443501e-4	-2.279239127506809e-4	0.008279492090585918	9.988183772516304e-4	-0.0015568208222898005	-0.005609126938463584	0.004710278978432209	0.013572139964057529	-0.015671041794961867	-0.0026446601459265036	-0.10132737561495372	0.025526984490125422
ANN0818	-0.0739521501022672	0.03127614289292566	0.013726729090047407	-0.05676021672420209	0.005980572501786656	-0.025181141901459536	-0.00762316444109952	0.0034315660930149365	-1.317541404979382e-4	0.001976311251169326	0.005388410349128235	6.616618509040913e-4	7.36862217299435e-4	-0.008653784419233857	0.003348366786016338	0.012460732367816843	-0.01371628768324307	-0.003664233641119191	-0.07864350392333402	0.017502361912586556
ANN0819	-0.06625168970662088	0.027388051754103818	0.01337014077476402	-0.0528515263725558	0.005068987444188908	-0.02524887899448526	-0.00897613223403024	0.0014810337890210972	-7.107056463101112e-5	-8.918388585454639e-4	0.007349449242718865	-8.680073009047435e-6	0.002934438432610126	-0.00642615277953839	0.0031380606796296527	0.010115008599826468	-0.010251509103060278	-0.00416081376784221	-0.07489682271770667	0.017117058188532788
ANN0820	-0.08459242019447598	0.039045734552575956	0.016802803678534286	-0.08269642099733142	0.01151856620519125	-0.03304268183254711	-0.011451586864745348	0.0034726749053039943	5.464420757784849e-4	-2.46254951700526e-4	0.007769415187238898	0.0027572508107935444	-0.0013466317882307398	-0.006588475651765255	0.006101871078453553	0.013432035370747988	-0.017915224337544278	-0.004801424247150686	-0.09810654120280157	0.025221147972142758
ANN0821	-0.07169751101704477	0.0320492596009032	0.009588208018349977	-0.06333720975532488	0.007906885360489191	-0.023965414423981188	-0.009983483895680406	-0.0012651980104585858	-0.0025830098594973082	-0.001281857351015	0.00363028960002497	-0.0013396154472972216	5.44941054584306e-5	-0.003723405077058314	0.0077344518133006645	0.006313548170943675	-0.006460667129615129	-0.00465910688863975	-0.052161531438092885	0.011219074841023177
ANN0822	-0.07833363902627624	0.03599131639653812	0.01073203115091738	-0.0722372395462111	0.00992701298839577	-0.02290435023065556	-0.011457576580770708	0.002685156111828502	-0.0016789422737465314	-0.0013725469810697201	0.006786588528954611	-0.0016078517551538513	4.735395291208394e-4	-0.003311456819169692	0.008269718697617761	0.005037804383581462	-0.00898940950248487	-0.003963811146470437	-0.05828147709140033	0.012225327325141564
ANN0823	-0.06742013749294892	0.03321471068725701	0.01046610194425287	-0.06352458860438914	0.010470224281974699	-0.02644793155834028	-0.007793151949153603	-9.218494687994353e-4	-0.003632537121144006	0.001501258212812555	0.002893085913241707	0.001658017134187241	0.004885342217644905	-0.005027659754702592	0.004314070753618199	0.0077353353853539366	-0.00877616801482263	-0.007186186750766428	-0.05533260644693204	0.013197282620192492
ANN0824	-0.07503247995154237	0.034833134011207356	0.010385196606148617	-0.06890760158314582	0.01003502933229965	-0.024806712110194737	-0.006186557731647986	7.364097175776803e-4	-0.0018158364545679045	0.0017953767193310294	5.04535378166996e-4	-7.256375594413901e-4	0.003226176932066572	-0.0038682798787131717	0.003922650908762459	0.005871258234194476	-0.010685004245028207	-0.00461209381701663	-0.056746201489192814	0.011706115145775164
