FID	IID	Total_N	Total_C	C_N_ratio	Ligules_number	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Flower_FHDD_ratio	Petal_LW_ratio	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Days_to_budding	TLN	DTF	LIR	Guides_3_petals	Guides_individual_petal	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Flower_FHDD_ratio_UV_pictures	Stem_diamater_at_flowering	Plant_height_at_flowering	Peduncle_lenght_of_first_flower	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches
PET0570	PET0570	4.759615694	41.51059165	8.72141667	18	2.834835482	4.175333728	1.6008235	10.76275418	3.804687555	2.638761098	258.2751	2971.9295	44.0267	53.4247	76.962	82.4653	85.8824	1.607541081	1.5436	1.7481	1.9924	0.3269	1.0462	0.3125	0.0868	0.1693	0.4088	0.1058	75.0465	71.9257	0.0016	35.7061	159.818	0.0114	0.0384	0.4043	0.1545	1.0688	0.757	0.7564	0.871	0.9154	1.607	0.3614	11.515	52	26	71	0.5	0.106658429	0.126011809	10.47486238	2.623302585	3.801442528	2.87197732	3.647265006	15.7	99.9	18.5	19.7	23.8	4.6	25
PET0571	PET0571	6.763968855	40.08103665	5.925668422	21	2.970873997	4.323060798	1.453799371	11.46050425	3.8649076	3.008598653	264.806	3716.0356	54.102	60.6213	87.5453	88.646	89.3544	1.473976968	1.4623	1.6182	1.6542	0.3787	0.795	0.4764	0.0646	0.1394	0.4078	0.1341	94.8144	69.5897	0.0034	155.4968	145.0575	0.0068	0.0059	0.3147	0.048	0.8003	0.6367	0.6597	0.7388	0.8745	1.2731	0.4334	9.3791	18	14	35	0.777777778	0.246061386	0.28993893	12	3.244996	3.882575339	4.234849322	2.833630924	19.8	72.2	NA	48.3	28.6	3	13
PET0572	PET0572	6.248548507	39.49053086	6.319952676	21	3.191921497	4.27398443	1.282065754	11.36643859	3.560156585	3.333431428	283.2988	3738.3653	47.9213	56.3033	94.5727	96.4353	100.7518	1.78944751	1.7128	1.9735	1.8478	0.2845	0.9894	0.2875	0.0779	0.188	0.4264	0	57.5532	56.4487	0	164.8061	5.6498	0.0533	0.0689	0.4808	0.0868	1.2029	0.7153	0.7346	0.8245	0.8884	1.8174	0.4208	13.6982	22	17	43	0.772727273	0.257514264	0.228807449	10.80128205	3.187421892	3.569913968	3.661454116	2.949997927	17.5	64.8	29	45.7	34	2.3	16
PET0573	PET0573	6.776247341	39.67169983	5.854523578	17.33333333	2.881632028	4.837631451	1.815164324	12.62677975	4.390919433	2.667372062	290.0165	3949.2107	45.212	53.594	107.5267	108.6273	110.0111	2.052675673	2.0269	2.3783	2.4701	0.3614	0.9682	0.3733	0.0848	0.2416	0.3989	0	63.9407	47.8112	0	156.07	153.2293	0.0049	0.0861	0.4234	0.0814	1.288	0.7255	0.7332	0.8224	0.8876	2.1759	0.4211	19.1128	16	13	36	0.8125	0.125045565	0.132484497	11.94696042	2.659643234	4.109945088	3.727070248	3.205456197	14.8	50.3	NA	38.1	26.2	3	14
PET0574	PET0574	6.02305671	38.50195827	6.392428316	15.33333333	2.756479694	4.424254584	1.777382941	11.38335546	4.164180193	2.490360687	284.1505	3366.4951	39.624	45.466	104.2247	115.7393	115.9863	2.551055734	2.5456	2.6303	2.8181	0.3739	0.6026	0.6206	0.09	0.2984	0.3257	0	60.309	46.9376	0	75.2484	106.3396	0.0012	0.1143	0.3111	0.395	1.1257	0.7045	0.7204	0.8632	0.8954	2.631	0.3845	26.7249	12	11	36	0.916666667	0.127108331	0.136763228	10.65853659	2.555998942	3.985213008	2.688110569	3.965066284	12.6	78.8	NA	47.1	21.5	4.5	12
PET0575	PET0575	6.203894817	39.79161833	6.413973723	17.66666667	2.80716087	4.792909196	1.955920896	12.48963273	4.474321945	2.448579275	288.964	4305.8265	53.594	65.786	92.1173	98.806	100.6755	1.530348402	1.5019	1.7188	1.8785	0.3333	1.0111	0.3297	0.0944	0.1717	0.3745	0.1628	74.9339	56.5197	0.0017	8.2407	149.9534	0.0426	0.0083	0.4716	0.1997	1.3157	0.7618	0.7461	0.8896	0.8887	1.7262	0.4267	11.3161	12	13	40	1.083333333	0.128683344	0.104871084	13.3974359	2.565855399	4.974669231	3.448097436	3.885457458	13.6	44.8	27.3	46.9	27.4	0.5	13
PET0576	PET0576	6.5879321	40.2653093	6.11198001	17.5	3.323975425	4.225952894	1.702555856	11.50305794	3.463702207	2.48442108	255.5717	3094.1443	41.656	47.498	101.0073	102.362	102.1408	2.150423176	2.1551	2.4248	2.2654	0.3537	0.6463	0.5472	0.0897	0.2553	0.3306	0	64.1502	46.0343	0	109.3451	102.6078	0.0025	0.0924	0.3117	0.0937	0.9132	0.6683	0.7881	0.8864	0.8981	2.4286	0.321	20.0654	12	14	37	1.166666667	0.160994185	0.203502154	12.02564103	3.153710063	4.085296581	3.855047863	3.119453105	11.6	68.1	34.7	36	18	4.7	11
PET0578	PET0578	5.236274961	38.02794316	7.262403797	15.66666667	2.445339891	4.000494279	1.348253763	10.18057866	4.16846655	2.975284792	263.1868	3224.0724	42.926	49.8687	97.1127	104.4787	103.5733	2.076919992	2.0951	2.2623	2.4763	0.2525	0.5306	0.4758	0.0799	0.2349	0.3417	0.1326	49.0696	51.0969	0.0017	69.5479	82.018	0.0312	0.0124	0.3165	0.1558	0.9102	0.6653	0.7429	0.9096	0.874	2.2673	0.3538	18.5852	18	13	38	0.722222222	0.199590701	0.272187582	10.21428571	2.449716428	3.515907937	3.182469841	3.209546743	1.51	66	NA	33	18.1	1.9	13
PET0579	PET0579	5.975335689	41.25850524	6.904801234	20	2.944014967	4.599231496	1.536395347	11.90003332	4.0524316	3.028160899	278.6919	3932.4007	57.5733	64.9393	81.4493	87.5453	85.0913	1.310320561	1.3481	1.4147	1.3695	0.4029	0.8662	0.4652	0.0712	0.1145	0.4229	0	125.2603	96.0843	0	350.5841	27.4227	0.0382	0.0074	0.2644	0.0957	0.7643	0.6417	0.5828	0.7107	0.8637	1.0067	0.4846	7.5253	22	18	42	0.818181818	0.080646477	0.079145725	12.5	3.04546661	4.322445345	3.855109309	3.242450213	23.4	83.7	43.5	48	27.6	2.7	16
PET0580	PET0580	6.594439035	40.7532238	6.179937912	20	3.199223648	4.349110897	1.703466378	11.93207302	3.735516715	2.561496844	263.8184	3692.05	53.9327	66.2093	78.6553	83.2273	85.3489	1.289077214	1.257	1.4584	1.6001	0.3218	1.0487	0.3069	0.1016	0.1279	0.3754	0	84.7775	73.4339	0	16.0111	1.4493	0.0627	0.0165	0.5048	0.1835	1.1852	0.7782	0.7454	0.8777	0.8883	1.4077	0.4196	8.0446	20	14	35	0.7	0.145739998	0.12572358	9.725	2.508304003	3.139050278	3.446899444	2.821376184	11.8	69.4	NA	35.6	19.1	2.4	14
