name	region	color
ARG0260	3a	#FFFF33
ARG0261	3a	#FFFF33
ARG0262	3a	#FFFF33
ARG0263	3a	#FFFF33
ARG0264	3a	#FFFF33
ARG0265	3a	#FFFF33
ARG0266N	3a	#FFFF33
ARG0267N	3a	#FFFF33
ARG0268	3a	#FFFF33
ARG0269	3a	#FFFF33
ARG0270	3a	#FFFF33
ARG0271	3a	#FFFF33
ARG0272	3a	#FFFF33
ARG0273	3a	#FF7F00
ARG0274	3a	#FFFF33
ARG0275	3a	#FFFF33
ARG0276	3a	#FFFF33
ARG0277N	3a	#FF7F00
ARG0278N	3a	#FFFF33
ARG0279	3a	#FFFF33
ARG0280	3a	#FFFF33
ARG0281	3a	#FFFF33
ARG0282	3a	#FFFF33
ARG0283	3a	#FFFF33
ARG0284	3a	#FFFF33
ARG0285	3a	#FFFF33
ARG0286	3a	#FFFF33
ARG0287	3a	#FFFF33
ARG0288	3a	#FFFF33
ARG0289	3a	#FFFF33
ARG0290	3a	#FF7F00
ARG0291	3a	#FFFF33
ARG0292	3a	#FFFF33
ARG0293	3a	#FFFF33
ARG0294	3a	#FFFF33
ARG0295	3a	#FFFF33
ARG0296	3a	#FFFF33
ARG0297	3a	#FFFF33
ARG0298N	3a	#FFFF33
ARG0299	3a	#FFFF33
ARG0300	3a	#FF7F00
ARG0001	6a	#984EA3
ARG0002	6a	#984EA3
ARG0003	6a	#984EA3
ARG0004	6a	#984EA3
ARG0005	6a	#984EA3
ARG0006	6a	#984EA3
ARG0007	6a	#984EA3
ARG0008	6a	#984EA3
ARG0009	6a	#984EA3
ARG0010	6a	#984EA3
ARG0011	6a	#984EA3
ARG0012	6a	#984EA3
ARG0013	6a	#984EA3
ARG0014	6a	#984EA3
ARG0015	6a	#984EA3
ARG0016	6a	#984EA3
ARG0017	6a	#984EA3
ARG0018	6a	#984EA3
ARG0019	6a	#984EA3
ARG0020	6a	#984EA3
ARG0021	6a	#984EA3
ARG0022	6a	#984EA3
ARG0023	6a	#984EA3
ARG0024	6a	#984EA3
ARG0025	6a	#984EA3
ARG0026	6a	#984EA3
ARG0027	6a	#984EA3
ARG0028	6a	#984EA3
ARG0029	6a	#984EA3
ARG0030	6a	#984EA3
ARG0031	6a	#984EA3
ARG0032	6a	#984EA3
ARG0033	6a	#984EA3
ARG0034	6a	#984EA3
ARG0035	6a	#984EA3
ARG0036	6a	#984EA3
ARG0037	6a	#984EA3
ARG0038	6a	#984EA3
ARG0039	6a	#984EA3
ARG0040	6a	#984EA3
ARG0041	6a	#984EA3
ARG0042	6a	#984EA3
ARG0043	6a	#984EA3
ARG0044N	6a	#984EA3
ARG0045	6a	#984EA3
ARG0046	6a	#984EA3
ARG0047	6a	#984EA3
ARG0048N	6a	#984EA3
ARG0049	6a	#984EA3
ARG0050	6a	#984EA3
ARG0051	6a	#984EA3
ARG0052	6a	#984EA3
ARG0053	6a	#984EA3
ARG0054	6a	#984EA3
ARG0055	6a	#984EA3
ARG0056	6a	#984EA3
ARG0057	6a	#984EA3
ARG0058	6a	#984EA3
ARG0059	6a	#984EA3
ARG0060	6a	#984EA3
ARG0061	6a	#984EA3
ARG0062N	6a	#984EA3
ARG0063	6a	#984EA3
ARG0064	6a	#984EA3
ARG0065	6a	#984EA3
ARG0066	6a	#984EA3
ARG0067	6a	#984EA3
ARG0068	6a	#984EA3
ARG0069	6a	#984EA3
ARG0070	6a	#984EA3
ARG0071	6a	#984EA3
ARG0072	6a	#984EA3
ARG0073	6a	#984EA3
ARG0074	6a	#984EA3
ARG0075	6a	#984EA3
ARG0076	6a	#984EA3
ARG0077	6a	#984EA3
ARG0078	6a	#984EA3
ARG0079	6a	#984EA3
ARG0080	6a	#984EA3
ARG0081	6a	#FFFF33
ARG0082	6a	#FF7F00
ARG0083	6a	#984EA3
ARG0084	6a	#FF7F00
ARG0085	6a	#984EA3
ARG0086	6a	#FF7F00
ARG0087N	6a	#984EA3
ARG0088	6a	#984EA3
ARG0089	6a	#984EA3
ARG0090	6a	#984EA3
ARG0091	6a	#984EA3
ARG0092	6a	#984EA3
ARG0093	6a	#984EA3
ARG0094	6a	#984EA3
ARG0095	6a	#984EA3
ARG0096	6a	#984EA3
ARG0097	6a	#984EA3
ARG0098	6a	#984EA3
ARG0099	6a	#984EA3
ARG0100	6a	#984EA3
ARG0101	6a	#984EA3
ARG0102	6a	#984EA3
ARG0103	6a	#984EA3
ARG0104	6a	#984EA3
ARG0105	6a	#984EA3
ARG0106	6a	#984EA3
ARG0107	6a	#984EA3
ARG0108	6a	#984EA3
ARG0109	6a	#984EA3
ARG0110	6a	#984EA3
ARG0111	6a	#984EA3
ARG0112	6a	#984EA3
ARG0113	6a	#984EA3
ARG0114	6a	#984EA3
ARG0115	6a	#984EA3
ARG0116	6a	#984EA3
ARG0117	6a	#984EA3
ARG0118	6a	#984EA3
ARG0119	6a	#984EA3
ARG0120	6a	#984EA3
ARG0121	6a	#FF7F00
