name	region	color
PET0583	6b	#E41A1C
PET0584	6b	#E41A1C
PET0586	6b	#E41A1C
PET0587	6b	#E41A1C
PET0588	6b	#E41A1C
PET0589	6b	#E41A1C
PET0590	6b	#E41A1C
PET0591	6b	#E41A1C
PET0592	6b	#377EB8
PET0593	6b	#377EB8
PET0595	6b	#E41A1C
PET0596	6b	#E41A1C
PET0597	6b	#E41A1C
PET0598	6b	#377EB8
PET0599	6b	#E41A1C
PET0600	6b	#E41A1C
PET0602	6b	#E41A1C
PET0603	6b	#E41A1C
PET0604	6b	#E41A1C
PET0605	6b	#E41A1C
PET0606	6b	#E41A1C
PET0607	6b	#E41A1C
PET0431	7a	#E41A1C
PET0432	7a	#E41A1C
PET0433	7a	#E41A1C
PET0434	7a	#E41A1C
PET0435	7a	#E41A1C
PET0436	7a	#E41A1C
PET0437	7a	#E41A1C
PET0438	7a	#E41A1C
PET0439	7a	#E41A1C
PET0440	7a	#E41A1C
PET0441	7a	#E41A1C
PET0442	7a	#E41A1C
PET0443	7a	#E41A1C
PET0444	7a	#E41A1C
PET0445	7a	#E41A1C
PET0446	7a	#E41A1C
PET0447	7a	#E41A1C
PET0448	7a	#E41A1C
PET0449	7a	#E41A1C
PET0450	7a	#E41A1C
PET0451	7a	#E41A1C
PET0452	7a	#E41A1C
PET0453N	7a	#E41A1C
PET0454N	7a	#E41A1C
PET0455	7a	#E41A1C
PET0456	7a	#E41A1C
PET0457	7a	#E41A1C
PET0458	7a	#E41A1C
PET0459N	7a	#E41A1C
PET0460N	7a	#E41A1C
PET0461	7a	#E41A1C
PET0462	7a	#E41A1C
PET0463	7a	#E41A1C
PET0464	7a	#E41A1C
PET0465	7a	#E41A1C
PET0466	7a	#E41A1C
PET0467	7a	#E41A1C
PET0468	7a	#E41A1C
PET0469	7a	#E41A1C
PET0470	7a	#E41A1C
PET0471	7a	#E41A1C
PET0472	7a	#E41A1C
PET0473N	7a	#E41A1C
PET0474N	7a	#E41A1C
