INDIVIDUAL	POPULATION_NAt	DTF	SLA
ANN1025	ANN_23	40	23.07969285
ANN1026	ANN_23	37	31.18893084
ANN1027	ANN_23	44	27.94577807
ANN1028	ANN_23	44	26.88643266
ANN1029	ANN_23	61	23.90407276
ANN1030	ANN_23	46	14.25665484
ANN1031	ANN_24	43	NA
ANN1032	ANN_24	43	70.5104699
ANN1033	ANN_24	30	28.16441073
ANN1034	ANN_24	44	23.87664443
ANN1035	ANN_24	43	23.41322189
ANN1036	ANN_24	50	31.63462663
ANN1037	ANN_24	43	24.79586451
ANN1038	ANN_24	48	26.87311966
ANN1039	ANN_24	49	40.83810209
ANN1040	ANN_24	35	31.38738732
ANN1041	ANN_25	92	17.58021006
ANN1042	ANN_25	63	37.45159924
ANN1043	ANN_25	93	18.74968448
ANN1044	ANN_25	72	16.07282302
ANN1045	ANN_25	50	28.40812382
ANN1046	ANN_25	65	25.12901334
ANN1047	ANN_25	78	20.83568494
ANN1048	ANN_25	78	23.88981074
ANN1049	ANN_25	83	19.2284274
ANN1050	ANN_25	NA	NA
ANN1051	ANN_26	58	24.40844763
ANN1052	ANN_26	64	26.82516667
ANN1053	ANN_26	119	24.67259219
ANN1054	ANN_26	82	15.37533377
ANN1055	ANN_26	61	26.05728736
ANN1056	ANN_26	114	20.26269961
ANN1057	ANN_26	66	25.01424533
ANN1058	ANN_26	77	23.80479548
ANN1059	ANN_26	119	20.04700909
ANN1060	ANN_26	70	23.98266507
ANN1061	ANN_27	48	26.08421776
ANN1062	ANN_27	51	21.90368086
ANN1063	ANN_27	65	10.39793901
ANN1064	ANN_27	46	20.14261113
ANN1065	ANN_27	48	22.21076544
ANN1066	ANN_27	57	33.74473162
ANN1067	ANN_27	51	25.68253647
ANN1068	ANN_27	51	20.71351908
ANN1069	ANN_27	58	19.10444234
ANN1070	ANN_27	51	16.55438388
ANN1071	ANN_28	44	25.75241376
ANN1072	ANN_28	44	19.38761964
ANN1073	ANN_28	49	26.64862504
ANN1074	ANN_28	39	22.90367412
ANN1075	ANN_28	44	29.01869943
ANN1076	ANN_28	37	26.14454143
ANN1077	ANN_28	46	11.65705753
ANN1078	ANN_28	43	35.18274044
ANN1079	ANN_28	44	34.88905651
ANN1080	ANN_28	49	21.78337989
ANN1081	ANN_29	51	11.06432145
ANN1082	ANN_29	54	22.8543306
ANN1083	ANN_29	50	18.81696796
ANN1084	ANN_29	75	20.98444474
ANN1085	ANN_29	54	42.77776489
ANN1086	ANN_29	49	18.76253299
ANN1087	ANN_29	62	60.85813325
ANN1088	ANN_29	49	6.857289268
ANN1089	ANN_29	69	27.80230114
ANN1090	ANN_29	51	35.72554217
ANN1091	ANN_30	50	27.71645224
ANN1092	ANN_30	48	13.3729138
ANN1093	ANN_30	44	35.04499165
ANN1094	ANN_30	51	15.3478298
ANN1095	ANN_30	61	30.09421985
ANN1096	ANN_30	48	15.19755018
ANN1097	ANN_30	61	33.2571333
ANN1098	ANN_30	55	26.27731456
ANN1099	ANN_30	49	14.02142143
ANN1100	ANN_30	76	24.38531133
ANN1101	ANN_31	58	NA
ANN1102	ANN_31	NA	NA
ANN1103	ANN_31	55	28.75564949
ANN1104	ANN_31	68	20.95730716
ANN1105	ANN_31	43	17.83541355
ANN1106	ANN_31	52	19.26558961
ANN1107	ANN_31	59	29.75861872
ANN1108	ANN_31	68	21.34097743
ANN1109	ANN_31	56	18.70912751
ANN1110	ANN_31	55	24.58008932
ANN1111	ANN_32	68	18.6343078
ANN1112	ANN_32	55	28.77040732
ANN1113	ANN_32	57	36.93584953
ANN1114	ANN_32	94	21.17011711
ANN1115	ANN_32	75	19.2661943
ANN1116	ANN_32	85	32.68304661
ANN1117	ANN_32	57	29.15472305
ANN1118	ANN_32	51	23.36220507
ANN1119	ANN_32	61	28.14554808
ANN1120	ANN_32	57	21.01088495
ANN1121	ANN_33	76	26.21115333
ANN1122	ANN_33	61	21.33260211
ANN1123	ANN_33	58	16.38508769
ANN1124	ANN_33	52	21.61231203
ANN1125	ANN_33	98	16.43659346
ANN1126	ANN_33	84	21.80842989
ANN1127	ANN_33	65	21.69704082
ANN1128	ANN_33	65	23.07031216
ANN1129	ANN_33	58	29.50301216
ANN1130	ANN_33	52	27.67549642
ANN1131	ANN_34	90	16.8674772
ANN1132	ANN_34	NA	NA
ANN1133	ANN_34	94	18.25286163
ANN1134	ANN_34	77	20.65464063
ANN1135	ANN_34	52	21.58345642
ANN1136	ANN_34	52	26.81246234
