name	total_counts	total_het	perc_het
SAM070	2064945	32324	0.015653685691386452
SAM105	1419924	22158	0.015605060552536614
SAM055	1344936	20921	0.015555387022133394
SAM074	2058301	31793	0.015446234540040548
SAM063	2105989	32450	0.015408437555941651
SAM203	1870329	28769	0.01538178577138033
SAM017	1175975	18081	0.015375326856438274
SAM040	1424371	21863	0.015349231344923478
SAM155	1360499	20742	0.015245876696712015
SAM216	1593835	24294	0.015242481185317175
SAM010	2060707	31347	0.015211769552876755
SAM163	2107441	31891	0.01513257073389006
SAM107	2073217	31258	0.015077051750974452
SAM183	2147620	32220	0.01500265410081858
SAM240	2134522	31900	0.0149447979453948
SAM099	1897549	28286	0.014906597932385409
SAM035	1930196	28743	0.014891233843609665
SAM233	2162721	32067	0.014827155236389715
SAM147	2032516	29969	0.014744779376890515
SAM179	2162444	31881	0.014743040744638936
SAM008	1734137	25545	0.014730670068166472
SAM281	1887957	27735	0.01469048288705728
SAM206	1163958	17081	0.014674928133145698
SAM276	1831640	26813	0.01463879364940709
SAM054	2124195	31091	0.014636603513330933
SAM050	1486570	21757	0.014635705012209314
SAM023	1989786	29099	0.01462418571645393
SAM130	1646703	24080	0.014623159124626603
SAM274	2092122	30352	0.014507758151771263
SAM113	2085401	30002	0.01438668150633859
SAM258	1183559	17003	0.01436599273884952
SAM275	1873354	26744	0.014275999090401495
SAM091	2104227	29850	0.014185731862579464
SAM047	1052564	14793	0.014054252282996569
SAM283	2103015	29519	0.014036514242646866
SAM205	1258319	17653	0.01402903397310221
SAM122	1309187	18359	0.014023206768780931
SAM036	1983875	27802	0.01401398777644761
SAM252	1263209	17592	0.013926436559587526
SAM052	1539123	21417	0.013915067216850116
SAM251	1306590	18094	0.013848261505139332
SAM156	1550448	21227	0.013690881603252738
SAM160	1344576	18372	0.013663786948450664
SAM140	1550598	20843	0.013441910798285564
SAM191	2178583	29282	0.013440846642060458
SAM210	1544200	20733	0.013426369641238181
SAM034	2132671	28605	0.013412757992207893
SAM215	2058875	27615	0.013412664683382916
SAM263	1356537	18194	0.013412092703700673
SAM194	1713685	22862	0.013340841519882593
SAM057	1806396	23926	0.013245157761642519
SAM176	2147384	28416	0.013232845173476192
SAM133	2120518	28002	0.013205263996815873
SAM090	1359602	17569	0.012922163986225381
SAM021	2174494	28026	0.012888515673071529
SAM033	1957257	24859	0.012700938098573667
SAM185	2153058	27031	0.0125547012667564
SAM256	2173960	27226	0.012523689488307052
SAM138	2070057	25848	0.012486612687476722
SAM020	2135908	26602	0.012454656286693996
SAM172	2153506	26720	0.012407673811914153
SAM282	1955111	23942	0.01224585202579291
SAM153	2125210	25981	0.012225144809218854
SAM169	2014710	24306	0.01206426731390622
SAM069	2119647	25306	0.011938780372392195
SAM151	1128303	13398	0.011874469889737066
SAM062	2125552	25019	0.011770589475110465
SAM193	1543365	18108	0.011732804618479751
SAM139	2101472	23611	0.011235457812428622
SAM212	1567155	17576	0.011215227593952097
SAM249	2155629	23224	0.010773653536856297
SAM104	1961350	20528	0.01046626048385041
SAM173	959118	9551	0.009958107344456053
SAM231	1712660	16239	0.009481741851856178
SAM264	2139848	19856	0.009279163753687179
SAM141	1238357	11068	0.00893764883632103
SAM011	2180479	17846	0.008184440207862584
