name	population	counts	heterozygosity	fst_call
ARG0069	ARG_07	0.0049504950495049506	0.009900990099009901	00
ARG0070	ARG_07	0.0064516129032258064	0.0064516129032258064	00
ARG0071	ARG_08	0.003236245954692557	0.006472491909385114	00
ARG0072	ARG_08	0.0064516129032258064	0.012903225806451613	00
ARG0073	ARG_08	0.004777070063694267	0.009554140127388535	00
ARG0074	ARG_08	0.007936507936507936	0.015873015873015872	00
ARG0075	ARG_08	0.006191950464396285	0.01238390092879257	00
ARG0076	ARG_08	0.006430868167202572	0.012861736334405145	00
ARG0077	ARG_08	0.021671826625386997	0.03715170278637771	00
ARG0078	ARG_08	0	0	00
ARG0079	ARG_08	0.005	0.01	00
ARG0080	ARG_08	0.0032258064516129032	0.0064516129032258064	00
ARG0081	ARG_09	0.7079510703363915	0.5840978593272171	01
ARG0082	ARG_09	0.03322784810126582	0.04113924050632911	00
ARG0083	ARG_09	0.003257328990228013	0.006514657980456026	00
ARG0084	ARG_09	0.02922077922077922	0.03896103896103896	00
ARG0085	ARG_09	0.004777070063694267	0.009554140127388535	00
ARG0086	ARG_09	0.0359375	0.053125	00
ARG0088	ARG_09	0	0	00
ARG0089	ARG_09	0.006269592476489028	0.006269592476489028	00
ARG0090	ARG_09	0	0	00
ARG0091	ARG_10	0.006172839506172839	0.012345679012345678	00
ARG0092	ARG_10	0.003289473684210526	0.006578947368421052	00
ARG0093	ARG_10	0.009523809523809525	0.01904761904761905	00
ARG0094	ARG_10	0.00778816199376947	0.01557632398753894	00
ARG0095	ARG_10	0.0046875	0.009375	00
ARG0096	ARG_10	0.006349206349206349	0.006349206349206349	00
ARG0097	ARG_10	0.0016181229773462784	0.003236245954692557	00
ARG0098	ARG_10	0.00303951367781155	0.0060790273556231	00
ARG0099	ARG_10	0.004807692307692308	0.009615384615384616	00
ARG0100	ARG_10	0.018461538461538463	0.03076923076923077	00
ARG0101	ARG_11	0.004601226993865031	0.009202453987730062	00
ARG0102	ARG_11	0.0060790273556231	0.0060790273556231	00
ARG0103	ARG_11	0.018518518518518517	0.030864197530864196	00
ARG0104	ARG_11	0.0016501650165016502	0.0033003300330033004	00
ARG0105	ARG_11	0.007462686567164179	0.007462686567164179	00
ARG0106	ARG_11	0.01238390092879257	0.018575851393188854	00
ARG0107	ARG_11	0.0015822784810126582	0.0031645569620253164	00
ARG0108	ARG_11	0.04574132492113565	0.07255520504731862	00
ARG0109	ARG_11	0.003246753246753247	0.006493506493506494	00
ARG0110	ARG_11	0.006097560975609756	0.012195121951219513	00
ARG0111	ARG_12	0.004559270516717325	0.00911854103343465	00
ARG0112	ARG_12	0.0015432098765432098	0.0030864197530864196	00
ARG0113	ARG_12	0.003246753246753247	0	00
ARG0114	ARG_12	0.004615384615384616	0.009230769230769232	00
ARG0115	ARG_12	0.006666666666666667	0.013333333333333334	00
ARG0116	ARG_12	0.003215434083601286	0.006430868167202572	00
ARG0117	ARG_12	0.011217948717948718	0.022435897435897436	00
ARG0118	ARG_12	0.025477707006369428	0.03184713375796178	00
ARG0119	ARG_12	0.012345679012345678	0.024691358024691357	00
ARG0120	ARG_12	0.0015384615384615385	0.003076923076923077	00
ARG0121	ARG_13	0.584717607973422	0.6578073089700996	01
ARG0122	ARG_13	0.9879154078549849	0.02416918429003021	11
ARG0123	ARG_13	0.6015625	0.703125	01
ARG0124	ARG_13	0.6079365079365079	0.6571428571428571	01
ARG0125	ARG_13	0.56797583081571	0.7854984894259819	01
ARG0126	ARG_13	0.6042944785276073	0.7484662576687117	01
ARG0127	ARG_13	0.5892857142857143	0.6266233766233766	01
ARG0128	ARG_13	0.9603658536585366	0.06097560975609756	11
ARG0129	ARG_13	0	0	00
ARG0130	ARG_13	0.6109324758842444	0.6559485530546624	01
ARG0131	ARG_14	0.006578947368421052	0.013157894736842105	00
ARG0132	ARG_14	0.9583333333333334	0.021604938271604937	11
ARG0133	ARG_14	0.00487012987012987	0.00974025974025974	00
ARG0135	ARG_14	0.0015723270440251573	0.0031446540880503146	00
ARG0137	ARG_14	0.0016129032258064516	0.0032258064516129032	00
ARG0138	ARG_14	0.004702194357366771	0.009404388714733543	00
ARG0139	ARG_14	0.009433962264150943	0.012578616352201259	00
ARG0140	ARG_14	1	0	11
ARG0141	ARG_15	0.001519756838905775	0.00303951367781155	00
ARG0142	ARG_15	0.593939393939394	0.6909090909090909	01
